Found 1892 lines with potential untranslated hardcoded Spanish:
components\Auth\LoginComponent.jsx:42 -> Contraseña es requerida | Context: newErrors.password = uiText(i18n, "Contraseña es requerida", "Password is required");
components\Auth\SignupComponent.jsx:48 -> Por favor corrige los errores | Context: addNotification("Por favor corrige los errores", "error");
components\Auth\SignupComponent.jsx:64 -> Error en el servidor | Context: addNotification("Error en el servidor", "error");
components\Auth\SignupComponent.jsx:87 -> solicitante | Context: { value: "solicitante", label: "Solicitante" },
components\Auth\SignupComponent.jsx:87 -> Solicitante | Context: { value: "solicitante", label: "Solicitante" },
components\Auth\SignupComponent.jsx:88 -> otorgante | Context: { value: "otorgante", label: "Otorgante" },
components\Auth\SignupComponent.jsx:88 -> Otorgante | Context: { value: "otorgante", label: "Otorgante" },
components\Auth\SignupComponent.jsx:113 -> Contraseña | Context: ["password", "Contraseña", "password", "********"],
components\Dashboard\ActivityDashboard.jsx:241 -> en-US | Context: else timeDisplay = timestamp.toLocaleDateString(i18n.language?.startsWith("en") ? "en-US" : "es-MX");
components\Dashboard\BiometricosTab.jsx:16 -> Prueba de vida, comparacion contra ID oficial y deteccion de manipulacion. | Context: "Prueba de vida, comparacion contra ID oficial y deteccion de manipulacion.",
components\Dashboard\BiometricosTab.jsx:23 -> Validacion opcional para operaciones sensibles o expedientes de mayor riesgo. | Context: "Validacion opcional para operaciones sensibles o expedientes de mayor riesgo.",
components\Dashboard\BiometricosTab.jsx:30 -> Senales de riesgo por dispositivo, ubicacion, IP y comportamiento de sesion. | Context: "Senales de riesgo por dispositivo, ubicacion, IP y comportamiento de sesion.",
components\Dashboard\BiometricosTab.jsx:37 -> Registro auditable de aceptacion, finalidad, vigencia y revocacion. | Context: "Registro auditable de aceptacion, finalidad, vigencia y revocacion.",
components\Dashboard\BiometricosTab.jsx:48 -> Solo liveness + face match cuando el expediente lo justifique. | Context: "Solo liveness + face match cuando el expediente lo justifique.",
components\Dashboard\BiometricosTab.jsx:56 -> Proveedor IDV/KYC con evidencia, soporte y costos por expediente controlados. | Context: "Proveedor IDV/KYC con evidencia, soporte y costos por expediente controlados.",
components\Dashboard\BiometricosTab.jsx:64 -> SLA, auditoria, retencion definida y gobierno formal de datos biometricos. | Context: "SLA, auditoria, retencion definida y gobierno formal de datos biometricos.",
components\Dashboard\BiometricosTab.jsx:81 -> Modulo preparado para verificacion facial, huella digital, prueba de vida y senales antifraude. Su funcion sera elevar la certeza de identidad del solicitante y dejar evidencia auditable para entidades financieras. | Context: "Modulo preparado para verificacion facial, huella digital, prueba de vida y senales antifraude. Su funcion sera elevar la certeza de identidad del solicitante y dejar evidencia auditable para entidades financieras.",
components\Dashboard\BiometricosTab.jsx:112 -> Recomendacion: integrar un proveedor especializado de biometria con prueba de vida, consentimiento, cifrado y bitacora. La plataforma debe guardar resultados y evidencias, no datos biometricos crudos salvo que legalmente proceda. | Context: "Recomendacion: integrar un proveedor especializado de biometria con prueba de vida, consentimiento, cifrado y bitacora. La plataforma debe guardar resultados y evidencias, no datos biometricos crudos salvo que legalmente proceda.",
components\Dashboard\BiometricosTab.jsx:132 -> Recomendacion: no guardar datos biometricos crudos salvo validacion legal; guardar resultado, proveedor, fecha, consentimiento y evidencia minima. | Context: "Recomendacion: no guardar datos biometricos crudos salvo validacion legal; guardar resultado, proveedor, fecha, consentimiento y evidencia minima.",
components\Dashboard\CompetitiveMoatTab.jsx:9 -> No preparan expediente ni validan evidencia documental. | Context: ["CRMs financieros", "Gestionan pipeline", "No preparan expediente ni validan evidencia documental."],
components\Dashboard\CompetitiveMoatTab.jsx:10 -> Cubren una pieza, no el flujo completo de financiamiento. | Context: ["Herramientas KYC/KYB", "Verifican identidad", "Cubren una pieza, no el flujo completo de financiamiento."],
components\Dashboard\CompetitiveMoatTab.jsx:11 -> Expediente + IA + data room + otorgantes + servicios | Context: ["NSD", "Expediente + IA + data room + otorgantes + servicios", "Plataforma vertical para preparar y revisar solicitudes financieras."],
components\Dashboard\CompetitiveMoatTab.jsx:11 -> Plataforma vertical para preparar y revisar solicitudes financieras. | Context: ["NSD", "Expediente + IA + data room + otorgantes + servicios", "Plataforma vertical para preparar y revisar solicitudes financieras."],
components\Dashboard\CompetitiveMoatTab.jsx:15 -> El producto entiende solicitantes, otorgantes, expedientes, data room, requerimientos y comite. | Context: ["Workflow vertical", "El producto entiende solicitantes, otorgantes, expedientes, data room, requerimientos y comite."],
components\Dashboard\CompetitiveMoatTab.jsx:16 -> Cada expediente se estructura por sector, monto, tipo de fondeo y requisitos exigibles. | Context: ["Matriz documental", "Cada expediente se estructura por sector, monto, tipo de fondeo y requisitos exigibles."],
components\Dashboard\CompetitiveMoatTab.jsx:17 -> Datos de interaccion | Context: ["Datos de interaccion", "Cada carga, faltante, requerimiento, score e interes institucional puede mejorar el sistema."],
components\Dashboard\CompetitiveMoatTab.jsx:17 -> Cada carga, faltante, requerimiento, score e interes institucional puede mejorar el sistema. | Context: ["Datos de interaccion", "Cada carga, faltante, requerimiento, score e interes institucional puede mejorar el sistema."],
components\Dashboard\CompetitiveMoatTab.jsx:18 -> La capa profesional ayuda a iniciar ingresos antes de que el SaaS este completamente maduro. | Context: ["Servicios NSD IF", "La capa profesional ayuda a iniciar ingresos antes de que el SaaS este completamente maduro."],
components\Dashboard\CompetitiveMoatTab.jsx:19 -> Trazabilidad, permisos, disclaimers y revision humana reducen riesgo reputacional. | Context: ["Confianza y auditoria", "Trazabilidad, permisos, disclaimers y revision humana reducen riesgo reputacional."],
components\Dashboard\CompetitiveMoatTab.jsx:23 -> La consultoria no escala; NSD convierte conocimiento en flujo repetible. | Context: ["No somos solo consultoria", "La consultoria no escala; NSD convierte conocimiento en flujo repetible."],
components\Dashboard\CompetitiveMoatTab.jsx:24 -> El data room es consecuencia; el valor esta en preparar, validar y explicar el expediente. | Context: ["No somos solo data room", "El data room es consecuencia; el valor esta en preparar, validar y explicar el expediente."],
components\Dashboard\CompetitiveMoatTab.jsx:25 -> La decision sigue en el otorgante; NSD acelera preparacion y revision. | Context: ["No somos aprobacion automatica", "La decision sigue en el otorgante; NSD acelera preparacion y revision."],
components\Dashboard\CompetitiveMoatTab.jsx:26 -> KYC/KYB es un modulo dentro de un expediente financiero completo. | Context: ["No somos KYC aislado", "KYC/KYB es un modulo dentro de un expediente financiero completo."],
components\Dashboard\ControlCenter.jsx:176 -> 🚨 ${L("Crítico", "Critical")} | Context: {getHealth() === "critical" && `🚨 ${L("Crítico", "Critical")}`}
components\Dashboard\ControlCenter.jsx:335 -> en-US | Context: {new Date(stats.lastActivity.timestamp).toLocaleString(i18n.language?.startsWith("en") ? "en-US" : "es-MX")}
components\Dashboard\CumplimientoTab.jsx:215 -> Documentos guardados localmente en tiempo real. Orden: | Context: {L("Documentos guardados localmente en tiempo real. Orden: ", "Documents saved locally in real-time. Order: ")} {orderId}
components\Dashboard\DataRoomIndexTab.jsx:13 -> En revision | Context: ["02", L("Corporativo Legal", "Corporate Legal"), L("Actas, estatutos, estructura, autorizaciones", "Bylaws, articles, structure, authorizations"), "En revision", "NSD"],
components\Dashboard\DataRoomIndexTab.jsx:15 -> En revision | Context: ["04", L("Proyecto", "Project"), L("Plan, presupuesto, hitos, contratos, soporte operativo", "Plan, budget, milestones, contracts, operational support"), "En revision", L("Otorgantes", "Funding Providers")],
components\Dashboard\DataRoomIndexTab.jsx:50 -> Esta estructura ayuda a solicitantes, NSD IF y otorgantes a revisar el mismo expediente sin perder trazabilidad, permisos ni version documental. | Context: "Esta estructura ayuda a solicitantes, NSD IF y otorgantes a revisar el mismo expediente sin perder trazabilidad, permisos ni version documental.",
components\Dashboard\DueDiligenceRoomTab.jsx:12 -> Pagina publica SaaS con narrativa de cumplimiento, otorgantes, solicitantes e internacional. | Context: "Pagina publica SaaS con narrativa de cumplimiento, otorgantes, solicitantes e internacional.",
components\Dashboard\DueDiligenceRoomTab.jsx:13 -> Dashboard demo con tres perfiles: solicitante, otorgante y NSD Admin. | Context: "Dashboard demo con tres perfiles: solicitante, otorgante y NSD Admin.",
components\Dashboard\DueDiligenceRoomTab.jsx:14 -> Flujo de expediente, carga documental, data room y revision con IA simulado/operativo. | Context: "Flujo de expediente, carga documental, data room y revision con IA simulado/operativo.",
components\Dashboard\DueDiligenceRoomTab.jsx:22 -> Dolor identificable: solicitudes de financiamiento lentas, incompletas y costosas. | Context: "Dolor identificable: solicitudes de financiamiento lentas, incompletas y costosas.",
components\Dashboard\DueDiligenceRoomTab.jsx:23 -> Dos lados de mercado: solicitantes que requieren capital y entidades que necesitan certeza documental. | Context: "Dos lados de mercado: solicitantes que requieren capital y entidades que necesitan certeza documental.",
components\Dashboard\DueDiligenceRoomTab.jsx:24 -> Extension internacional planteada como expansion gradual, no promesa inmediata. | Context: "Extension internacional planteada como expansion gradual, no promesa inmediata.",
components\Dashboard\DueDiligenceRoomTab.jsx:32 -> Matriz documental, trazabilidad, scoring y semaforos como capas principales de control. | Context: "Matriz documental, trazabilidad, scoring y semaforos como capas principales de control.",
components\Dashboard\DueDiligenceRoomTab.jsx:33 -> Biometricos planteados como modulo futuro con consentimiento, privacidad y proveedor especializado. | Context: "Biometricos planteados como modulo futuro con consentimiento, privacidad y proveedor especializado.",
components\Dashboard\DueDiligenceRoomTab.jsx:34 -> Separacion responsable entre asistencia de cumplimiento y decision crediticia final. | Context: "Separacion responsable entre asistencia de cumplimiento y decision crediticia final.",
components\Dashboard\DueDiligenceRoomTab.jsx:38 -> Modelo de negocio | Context: title: "Modelo de negocio",
components\Dashboard\DueDiligenceRoomTab.jsx:39 -> Validable en piloto | Context: status: "Validable en piloto",
components\Dashboard\DueDiligenceRoomTab.jsx:42 -> Ingresos por expediente, servicios profesionales, paquetes SaaS y comisiones condicionadas. | Context: "Ingresos por expediente, servicios profesionales, paquetes SaaS y comisiones condicionadas.",
components\Dashboard\DueDiligenceRoomTab.jsx:43 -> Piloto de 4 semanas para medir disposicion de pago, conversion e interes de otorgantes. | Context: "Piloto de 4 semanas para medir disposicion de pago, conversion e interes de otorgantes.",
components\Dashboard\DueDiligenceRoomTab.jsx:44 -> Pricing sujeto a aprendizaje real antes de comprometer escala. | Context: "Pricing sujeto a aprendizaje real antes de comprometer escala.",
components\Dashboard\DueDiligenceRoomTab.jsx:50 -> Pagina publica, dashboard y perfiles demo listos para presentacion. | Context: ["Demo navegable", "Pagina publica, dashboard y perfiles demo listos para presentacion."],
components\Dashboard\DueDiligenceRoomTab.jsx:51 -> Render + Supabase como base para autenticacion, ordenes, documentos y revisiones. | Context: ["Backend conectado", "Render + Supabase como base para autenticacion, ordenes, documentos y revisiones."],
components\Dashboard\DueDiligenceRoomTab.jsx:52 -> Estructura para compartir expediente, documentos, permisos y evidencias. | Context: ["Data room", "Estructura para compartir expediente, documentos, permisos y evidencias."],
components\Dashboard\DueDiligenceRoomTab.jsx:53 -> Pipeline, oportunidades, solicitudes de informacion e interes institucional. | Context: ["Otorgantes", "Pipeline, oportunidades, solicitudes de informacion e interes institucional."],
components\Dashboard\DueDiligenceRoomTab.jsx:54 -> Revision documental, scoring, faltantes, memo ejecutivo y alertas de riesgo. | Context: ["IA aplicada", "Revision documental, scoring, faltantes, memo ejecutivo y alertas de riesgo."],
components\Dashboard\DueDiligenceRoomTab.jsx:55 -> Ruta inicial para expansion por jurisdiccion, requisitos y aliados locales. | Context: ["Internacional", "Ruta inicial para expansion por jurisdiccion, requisitos y aliados locales."],
components\Dashboard\DueDiligenceRoomTab.jsx:59 -> Aclarar que NSD IF no sustituye dictamen legal, regulatorio ni decision crediticia. | Context: ["Regulatorio", "Aclarar que NSD IF no sustituye dictamen legal, regulatorio ni decision crediticia."],
components\Dashboard\DueDiligenceRoomTab.jsx:60 -> Fortalecer consentimiento, auditoria, retencion documental y politicas de acceso. | Context: ["Datos sensibles", "Fortalecer consentimiento, auditoria, retencion documental y politicas de acceso."],
components\Dashboard\DueDiligenceRoomTab.jsx:62 -> Validar con pilotos pequenos antes de escalar equipo comercial. | Context: ["Adopcion otorgantes", "Validar con pilotos pequenos antes de escalar equipo comercial."],
components\Dashboard\DueDiligenceRoomTab.jsx:63 -> Evitar servicios manuales excesivos sin precio suficiente por expediente. | Context: ["Carga operacional", "Evitar servicios manuales excesivos sin precio suficiente por expediente."],
components\Dashboard\DueDiligenceRoomTab.jsx:67 -> Cerrar narrativa final de ronda y demo guiado de 10 minutos. | Context: "Cerrar narrativa final de ronda y demo guiado de 10 minutos.",
components\Dashboard\DueDiligenceRoomTab.jsx:68 -> Ejecutar piloto controlado con 3 a 5 expedientes y al menos 2 otorgantes. | Context: "Ejecutar piloto controlado con 3 a 5 expedientes y al menos 2 otorgantes.",
components\Dashboard\DueDiligenceRoomTab.jsx:69 -> Documentar resultados: tiempos, faltantes, conversion, interes y aprendizaje de pricing. | Context: "Documentar resultados: tiempos, faltantes, conversion, interes y aprendizaje de pricing.",
components\Dashboard\DueDiligenceRoomTab.jsx:70 -> Definir paquete minimo legal, privacidad, terminos y consentimiento para demo comercial. | Context: "Definir paquete minimo legal, privacidad, terminos y consentimiento para demo comercial.",
components\Dashboard\DueDiligenceRoomTab.jsx:71 -> Preparar data room de inversion: one pager, deck, modelo, roadmap, riesgos y evidencias. | Context: "Preparar data room de inversion: one pager, deck, modelo, roadmap, riesgos y evidencias.",
components\Dashboard\DueDiligenceRoomTab.jsx:96 -> Esta vista resume que existe, que esta validado, que falta probar y cuales son los riesgos que deben explicarse con transparencia antes de una ronda. | Context: "Esta vista resume que existe, que esta validado, que falta probar y cuales son los riesgos que deben explicarse con transparencia antes de una ronda.",
components\Dashboard\ExpedientesTab.jsx:79 -> 📥 Expediente ${exp.id} descargado | Context: addNotification(L(`📥 Expediente ${exp.id} descargado`, `📥 Compliance file ${exp.id} downloaded`), 'success');
components\Dashboard\ExpedientesTab.jsx:93 -> ${L('Expediente actualizado a:', 'Compliance file updated to:')} ${newStatus} | Context: addNotification(`${L('Expediente actualizado a:', 'Compliance file updated to:')} ${newStatus}`, 'success');
components\Dashboard\ExpedientesTab.jsx:95 -> Error updating expediente: | Context: console.error('Error updating expediente:', err);
components\Dashboard\ExpedientesTab_V2.jsx:116 -> Error al cargar detalles | Context: addNotification("Error al cargar detalles", "error");
components\Dashboard\ExpedientesTab_V2.jsx:134 -> Error al actualizar estado | Context: addNotification("Error al actualizar estado", "error");
components\Dashboard\ExpedientesTab_V2.jsx:148 -> Otorgante | Context: return exp.otorganteId === user?.id ? "Otorgante" : "Solicitante";
components\Dashboard\ExpedientesTab_V2.jsx:148 -> Solicitante | Context: return exp.otorganteId === user?.id ? "Otorgante" : "Solicitante";
components\Dashboard\ExpedientesTab_V2.jsx:199 -> 🔍 Buscar por nombre, ID, solicitante, otorgante... | Context: placeholder="🔍 Buscar por nombre, ID, solicitante, otorgante..."
components\Dashboard\ExpedientesTab_V2.jsx:387 -> Solicitante | Context: ["Solicitante", selectedExpDetails.solicitanteName],
components\Dashboard\ExpedientesTab_V2.jsx:388 -> Otorgante | Context: ["Otorgante", selectedExpDetails.otorganteName],
components\Dashboard\ExpedientesTab_V2.jsx:455 -> Solicitante | Context: ℹ️ Expediente vinculando a {getMiRol(selectedExpDetails) === "Solicitante" ? "Otorgante" : "Solicitante"}
components\Dashboard\ExpedientesTab_V2.jsx:455 -> Otorgante | Context: ℹ️ Expediente vinculando a {getMiRol(selectedExpDetails) === "Solicitante" ? "Otorgante" : "Solicitante"}
components\Dashboard\ExpedientesTab_V2.jsx:455 -> Solicitante | Context: ℹ️ Expediente vinculando a {getMiRol(selectedExpDetails) === "Solicitante" ? "Otorgante" : "Solicitante"}
components\Dashboard\FundraisingRoomTab.jsx:7 -> Cerrar flujos solicitante-otorgante, permisos, auditoria, data room y demo guiado. | Context: ["Producto", "35%", "Cerrar flujos solicitante-otorgante, permisos, auditoria, data room y demo guiado."],
components\Dashboard\FundraisingRoomTab.jsx:9 -> Pilotos con SOFOMES, fintechs, fondos, empresas solicitantes y aliados de servicios. | Context: ["Pilotos", "20%", "Pilotos con SOFOMES, fintechs, fondos, empresas solicitantes y aliados de servicios."],
components\Dashboard\FundraisingRoomTab.jsx:10 -> Ventas B2B, contenido, alianzas, demo institucional y materiales de inversion. | Context: ["Go-to-market", "15%", "Ventas B2B, contenido, alianzas, demo institucional y materiales de inversion."],
components\Dashboard\FundraisingRoomTab.jsx:11 -> Contratos, privacidad, compliance, terminos, seguros y gobierno corporativo. | Context: ["Legal / Operacion", "5%", "Contratos, privacidad, compliance, terminos, seguros y gobierno corporativo."],
components\Dashboard\FundraisingRoomTab.jsx:15 -> Piloto cerrado | Context: ["0-90 dias", "Piloto cerrado", "3 entidades, 20 expedientes, flujo solicitante-otorgante completo y data room funcional."],
components\Dashboard\FundraisingRoomTab.jsx:15 -> 3 entidades, 20 expedientes, flujo solicitante-otorgante completo y data room funcional. | Context: ["0-90 dias", "Piloto cerrado", "3 entidades, 20 expedientes, flujo solicitante-otorgante completo y data room funcional."],
components\Dashboard\FundraisingRoomTab.jsx:16 -> Primeros ingresos por expedientes y servicios NSD IF; 2 modulos premium validados. | Context: ["90-180 dias", "MVP comercial", "Primeros ingresos por expedientes y servicios NSD IF; 2 modulos premium validados."],
components\Dashboard\FundraisingRoomTab.jsx:17 -> Traccion SaaS | Context: ["180-365 dias", "Traccion SaaS", "MRR inicial, repeticion por entidad, dashboard de administracion y auditoria robusta."],
components\Dashboard\FundraisingRoomTab.jsx:17 -> MRR inicial, repeticion por entidad, dashboard de administracion y auditoria robusta. | Context: ["180-365 dias", "Traccion SaaS", "MRR inicial, repeticion por entidad, dashboard de administracion y auditoria robusta."],
components\Dashboard\FundraisingRoomTab.jsx:18 -> Mexico consolidado, primeros casos USA y partners de integracion. | Context: ["12-18 meses", "Expansion controlada", "Mexico consolidado, primeros casos USA y partners de integracion."],
components\Dashboard\FundraisingRoomTab.jsx:22 -> Narrativa, mercado, producto, modelo, equipo, ask y uso de fondos. | Context: ["Pitch deck", "Pendiente final", "Narrativa, mercado, producto, modelo, equipo, ask y uso de fondos."],
components\Dashboard\FundraisingRoomTab.jsx:23 -> Landing, dashboard, solicitante, otorgante, NSD Admin y demo 10 min. | Context: ["Demo producto", "Listo local", "Landing, dashboard, solicitante, otorgante, NSD Admin y demo 10 min."],
components\Dashboard\FundraisingRoomTab.jsx:24 -> Por preparar | Context: ["Modelo financiero", "Por preparar", "MRR, fee por expediente, servicios, CAC, margen, escenarios y runway."],
components\Dashboard\FundraisingRoomTab.jsx:24 -> MRR, fee por expediente, servicios, CAC, margen, escenarios y runway. | Context: ["Modelo financiero", "Por preparar", "MRR, fee por expediente, servicios, CAC, margen, escenarios y runway."],
components\Dashboard\FundraisingRoomTab.jsx:25 -> Por cerrar | Context: ["Pilotos", "Por cerrar", "Cartas de interes, aliados, casos piloto y entidades objetivo."],
components\Dashboard\FundraisingRoomTab.jsx:25 -> Cartas de interes, aliados, casos piloto y entidades objetivo. | Context: ["Pilotos", "Por cerrar", "Cartas de interes, aliados, casos piloto y entidades objetivo."],
components\Dashboard\FundraisingRoomTab.jsx:30 -> Riesgo regulatorio | Context: ["Riesgo regulatorio", "No prometer aprobacion crediticia; operar como preparacion, evidencia y trazabilidad."],
components\Dashboard\FundraisingRoomTab.jsx:30 -> No prometer aprobacion crediticia; operar como preparacion, evidencia y trazabilidad. | Context: ["Riesgo regulatorio", "No prometer aprobacion crediticia; operar como preparacion, evidencia y trazabilidad."],
components\Dashboard\FundraisingRoomTab.jsx:31 -> Riesgo IA | Context: ["Riesgo IA", "Mantener revision humana, explicabilidad, auditoria y disclaimers visibles."],
components\Dashboard\FundraisingRoomTab.jsx:32 -> Riesgo go-to-market | Context: ["Riesgo go-to-market", "Iniciar con pilotos acotados y servicios profesionales para aprender antes de escalar."],
components\Dashboard\FundraisingRoomTab.jsx:32 -> Iniciar con pilotos acotados y servicios profesionales para aprender antes de escalar. | Context: ["Riesgo go-to-market", "Iniciar con pilotos acotados y servicios profesionales para aprender antes de escalar."],
components\Dashboard\FundraisingRoomTab.jsx:33 -> Riesgo tecnico | Context: ["Riesgo tecnico", "Priorizar permisos, seguridad, respaldos, trazabilidad y observabilidad antes de abrir masivo."],
components\Dashboard\FundraisingRoomTab.jsx:33 -> Priorizar permisos, seguridad, respaldos, trazabilidad y observabilidad antes de abrir masivo. | Context: ["Riesgo tecnico", "Priorizar permisos, seguridad, respaldos, trazabilidad y observabilidad antes de abrir masivo."],
components\Dashboard\FundraisingRoomTab.jsx:64 -> Pre-seed para producto, pilotos e integraciones. | Context: ["Ask sugerido", "$250K - $500K", "Pre-seed para producto, pilotos e integraciones."],
components\Dashboard\FundraisingRoomTab.jsx:65 -> Tiempo para validar pilotos, ingresos y producto SaaS. | Context: ["Runway objetivo", "12-18 meses", "Tiempo para validar pilotos, ingresos y producto SaaS."],
components\Dashboard\FundraisingRoomTab.jsx:67 -> Solo con pilotos, legal y costos de integracion validados. | Context: ["Expansion", "USA despues", "Solo con pilotos, legal y costos de integracion validados."],
components\Dashboard\GovernanceDisclosureTab.jsx:9 -> La IA ayuda a revisar documentos, detectar faltantes, resumir riesgos y sugerir semaforos. No aprueba creditos, no sustituye abogados y no emite dictamen regulatorio final. | Context: detail: "La IA ayuda a revisar documentos, detectar faltantes, resumir riesgos y sugerir semaforos. No aprueba creditos, no sustituye abogados y no emite dictamen regulatorio final.",
components\Dashboard\GovernanceDisclosureTab.jsx:12 -> Decision del otorgante | Context: title: "Decision del otorgante",
components\Dashboard\GovernanceDisclosureTab.jsx:13 -> La entidad financiera conserva su propio comite, politicas de riesgo, apetito de credito, autorizaciones y decision final. | Context: detail: "La entidad financiera conserva su propio comite, politicas de riesgo, apetito de credito, autorizaciones y decision final.",
components\Dashboard\GovernanceDisclosureTab.jsx:17 -> Documentos, informacion financiera y biometricos deben operar con consentimiento, finalidad, control de acceso, trazabilidad y retencion limitada. | Context: detail: "Documentos, informacion financiera y biometricos deben operar con consentimiento, finalidad, control de acceso, trazabilidad y retencion limitada.",
components\Dashboard\GovernanceDisclosureTab.jsx:20 -> Biometricos futuros | Context: title: "Biometricos futuros",
components\Dashboard\GovernanceDisclosureTab.jsx:21 -> Rostro, huella u otra biometria deben integrarse con proveedor especializado, prueba de vida, cifrado, politica de eliminacion y opcion de no continuidad cuando aplique. | Context: detail: "Rostro, huella u otra biometria deben integrarse con proveedor especializado, prueba de vida, cifrado, politica de eliminacion y opcion de no continuidad cuando aplique.",
components\Dashboard\GovernanceDisclosureTab.jsx:26 -> Terminos de uso | Context: ["Terminos de uso", "Pendiente de version legal final", "Antes de publicar comercialmente"],
components\Dashboard\GovernanceDisclosureTab.jsx:26 -> Pendiente de version legal final | Context: ["Terminos de uso", "Pendiente de version legal final", "Antes de publicar comercialmente"],
components\Dashboard\GovernanceDisclosureTab.jsx:26 -> Antes de publicar comercialmente | Context: ["Terminos de uso", "Pendiente de version legal final", "Antes de publicar comercialmente"],
components\Dashboard\GovernanceDisclosureTab.jsx:27 -> Antes de datos reales | Context: ["Privacidad", "Requiere texto completo y consentimiento", "Antes de datos reales"],
components\Dashboard\GovernanceDisclosureTab.jsx:28 -> Agregar disclaimer en revision documental | Context: ["IA", "Agregar disclaimer en revision documental", "Antes de piloto"],
components\Dashboard\GovernanceDisclosureTab.jsx:28 -> Antes de piloto | Context: ["IA", "Agregar disclaimer en revision documental", "Antes de piloto"],
components\Dashboard\GovernanceDisclosureTab.jsx:29 -> Mantener como modulo futuro controlado | Context: ["Biometria", "Mantener como modulo futuro controlado", "Antes de integracion"],
components\Dashboard\GovernanceDisclosureTab.jsx:29 -> Antes de integracion | Context: ["Biometria", "Mantener como modulo futuro controlado", "Antes de integracion"],
components\Dashboard\GovernanceDisclosureTab.jsx:55 -> Esta capa ordena los disclaimers que deben acompañar la demo: IA asistiva, decision humana, privacidad, biometricos futuros y trazabilidad. | Context: "Esta capa ordena los disclaimers que deben acompañar la demo: IA asistiva, decision humana, privacidad, biometricos futuros y trazabilidad.",
components\Dashboard\ImplementationRoadmapTab.jsx:11 -> Version piloto con datos reales controlados | Context: later: "Version piloto con datos reales controlados",
components\Dashboard\ImplementationRoadmapTab.jsx:17 -> Auditoria completa y reglas por jurisdiccion | Context: later: "Auditoria completa y reglas por jurisdiccion",
components\Dashboard\ImplementationRoadmapTab.jsx:21 -> Pipeline, inteligencia, requerimientos y memo comite | Context: now: "Pipeline, inteligencia, requerimientos y memo comite",
components\Dashboard\ImplementationRoadmapTab.jsx:23 -> Integraciones y comites por entidad | Context: later: "Integraciones y comites por entidad",
components\Dashboard\ImplementationRoadmapTab.jsx:28 -> Checklist dinamico y alertas por faltantes | Context: next: "Checklist dinamico y alertas por faltantes",
components\Dashboard\ImplementationRoadmapTab.jsx:29 -> Onboarding asistido y paquetes por industria | Context: later: "Onboarding asistido y paquetes por industria",
components\Dashboard\ImplementationRoadmapTab.jsx:33 -> One Pager, ronda, piloto, moat, Q&A y due diligence | Context: now: "One Pager, ronda, piloto, moat, Q&A y due diligence",
components\Dashboard\ImplementationRoadmapTab.jsx:34 -> Deck final y data room de inversion | Context: next: "Deck final y data room de inversion",
components\Dashboard\ImplementationRoadmapTab.jsx:35 -> Metricas de piloto y negociacion de ronda | Context: later: "Metricas de piloto y negociacion de ronda",
components\Dashboard\ImplementationRoadmapTab.jsx:41 -> Problema, solucion, mercado, moat y piloto | Context: ["Narrativa inversion", "Problema, solucion, mercado, moat y piloto", "Listo"],
components\Dashboard\ImplementationRoadmapTab.jsx:43 -> Piloto comercial | Context: ["Piloto comercial", "3-5 expedientes y 2 otorgantes", "Por iniciar"],
